username,phone,email,verified,first_name,last_name,address,city,created_at,last_login_at
caesar,(408) 537-0192,caesar.vallelonga@gmail.com,TRUE,Caesar,Vallelonga,"410 Campus Way, Apt 3A","Santa Clara, CA",1/20/2023,4/28/2025
bobby,(650) 422-0101,bob.andrews@proton.me,TRUE,Bob,Andrews,"410 Campus Way, Apt 3B","Santa Clara, CA",1/20/2023,4/27/2025
bobmom,(650) 267-0111,linda.andrews68@gmail.com,TRUE,Linda,Andrews,6655 Alma St,"Los Altos, CA",2/4/2023,2/9/2023
robertandrews,(650) 600-0150,robert.andrews64@gmail.com,TRUE,Robert,Andrews,6655 Alma St,"Los Altos, CA",2/4/2023,2/9/2023
GabrielV,(408) 526-0120,gabriel.vallelonga@gmail.com,TRUE,Gabriel,Vallelonga,8877 Scott Blvd,"Santa Clara, CA",2/5/2023,2/9/2023
CarmenV,(408) 292-0199,carmen.vallelonga11@gmail.com,TRUE,Carmen,Vallelonga,8877 Scott Blvd,"Santa Clara, CA",2/5/2023,2/9/2023
brandonA02,(408) 935-0124,brandon.allen02@gmail.com,TRUE,Brandon,Allen,"410 Campus Way, Apt 3A","Santa Clara, CA",2/7/2023,2/9/2023 22:17
carolyn.h,(669) 388-0192,carolyn.howell95@outlook.com,TRUE,Carolyn,Howell,"410 Campus Way, Apt 3A","Santa Clara, CA",2/7/2023,2/9/2023 22:19
AmberSims,(408) 446-0173,amber.sims@gmail.com,TRUE,Amber,Sims,"410 Campus Way, Apt 3A","Santa Clara, CA",2/7/2023,2/10/2023 0:03
finharris,(669) 854-0112,finley.harris@icloud.com,TRUE,Finley,Harris,"410 Campus Way, Apt 3A","Santa Clara, CA",2/8/2023,2/9/2023 22:31
mikeyferg,(408) 483-0136,michael.ferguson23@gmail.com,TRUE,Michael,Ferguson,"410 Campus Way, Apt 3B","Santa Clara, CA",2/8/2023,2/9/2023 23:02
dave_lane,(650) 381-0141,david.lane82@outlook.com,TRUE,David,Lane,"410 Campus Way, Apt 3B","Santa Clara, CA",2/8/2023,2/9/2023 23:07
